,dteday,yr,mnth,hr,weekday,season,weathersit,cnt,registered,casual
138,2011-01-07,2011,January,0,Friday,,Cloudy,17,13,4
139,2011-01-07,2011,January,1,Friday,,Cloudy,7,5,2
140,2011-01-07,2011,January,2,Friday,,Cloudy,1,1,0
141,2011-01-07,2011,January,4,Friday,,Cloudy,1,1,0
142,2011-01-07,2011,January,5,Friday,,Light Snow/Rain,5,5,0
143,2011-01-07,2011,January,6,Friday,,Cloudy,34,26,8
144,2011-01-07,2011,January,7,Friday,,Clear,84,76,8
145,2011-01-07,2011,January,8,Friday,,Clear,210,190,20
146,2011-01-07,2011,January,9,Friday,,Clear,134,125,9
147,2011-01-07,2011,January,10,Friday,,Clear,63,47,16
148,2011-01-07,2011,January,11,Friday,,Cloudy,67,48,19
149,2011-01-07,2011,January,12,Friday,,Cloudy,59,50,9
150,2011-01-07,2011,January,13,Friday,,Cloudy,73,64,9
151,2011-01-07,2011,January,14,Friday,,Cloudy,50,43,7
152,2011-01-07,2011,January,15,Friday,,Cloudy,72,63,9
153,2011-01-07,2011,January,16,Friday,,Cloudy,87,82,5
154,2011-01-07,2011,January,17,Friday,,Cloudy,187,178,9
155,2011-01-07,2011,January,18,Friday,,Clear,123,116,7
156,2011-01-07,2011,January,19,Friday,,Clear,95,92,3
157,2011-01-07,2011,January,20,Friday,,Clear,51,50,1
158,2011-01-07,2011,January,21,Friday,,Clear,39,39,0
159,2011-01-07,2011,January,22,Friday,,Cloudy,36,34,2
160,2011-01-07,2011,January,23,Friday,,Cloudy,15,14,1
161,2011-01-08,2011,January,0,Saturday,,Cloudy,25,24,1
162,2011-01-08,2011,January,1,Saturday,,Cloudy,16,15,1
163,2011-01-08,2011,January,2,Saturday,,Cloudy,16,13,3
164,2011-01-08,2011,January,3,Saturday,,Light Snow/Rain,7,7,0
165,2011-01-08,2011,January,4,Saturday,,Light Snow/Rain,1,1,0
166,2011-01-08,2011,January,5,Saturday,,Cloudy,5,5,0
167,2011-01-08,2011,January,6,Saturday,,Cloudy,2,2,0
168,2011-01-08,2011,January,7,Saturday,,Cloudy,9,8,1
169,2011-01-08,2011,January,8,Saturday,,Light Snow/Rain,15,15,0
170,2011-01-08,2011,January,9,Saturday,,Light Snow/Rain,20,20,0
171,2011-01-08,2011,January,10,Saturday,,Cloudy,61,56,5
172,2011-01-08,2011,January,11,Saturday,,Cloudy,62,60,2
173,2011-01-08,2011,January,12,Saturday,,Cloudy,98,90,8
174,2011-01-08,2011,January,13,Saturday,,Clear,102,95,7
175,2011-01-08,2011,January,14,Saturday,,Clear,95,83,12
176,2011-01-08,2011,January,15,Saturday,,Clear,74,69,5
177,2011-01-08,2011,January,16,Saturday,,Clear,76,68,8
178,2011-01-08,2011,January,17,Saturday,,Clear,69,64,5
179,2011-01-08,2011,January,18,Saturday,,Clear,55,52,3
180,2011-01-08,2011,January,19,Saturday,,Clear,30,26,4
181,2011-01-08,2011,January,20,Saturday,,Clear,28,28,0
182,2011-01-08,2011,January,21,Saturday,,Clear,37,35,2
183,2011-01-08,2011,January,22,Saturday,,Clear,34,33,1
184,2011-01-08,2011,January,23,Saturday,,Clear,22,22,0
185,2011-01-09,2011,January,0,Sunday,,Clear,25,24,1
186,2011-01-09,2011,January,1,Sunday,,Clear,12,12,0
187,2011-01-09,2011,January,2,Sunday,,Clear,11,11,0
188,2011-01-09,2011,January,3,Sunday,,Clear,4,4,0
189,2011-01-09,2011,January,4,Sunday,,Clear,1,1,0
190,2011-01-09,2011,January,5,Sunday,,Clear,1,1,0
191,2011-01-09,2011,January,6,Sunday,,Clear,1,1,0
192,2011-01-09,2011,January,7,Sunday,,Clear,6,5,1
193,2011-01-09,2011,January,8,Sunday,,Clear,10,10,0
194,2011-01-09,2011,January,9,Sunday,,Clear,19,19,0
195,2011-01-09,2011,January,10,Sunday,,Clear,49,49,0
196,2011-01-09,2011,January,11,Sunday,,Clear,49,47,2
197,2011-01-09,2011,January,12,Sunday,,Clear,83,79,4
198,2011-01-09,2011,January,13,Sunday,,Clear,75,69,6
199,2011-01-09,2011,January,14,Sunday,,Clear,72,64,8
200,2011-01-09,2011,January,15,Sunday,,Clear,82,77,5
201,2011-01-09,2011,January,16,Sunday,,Clear,92,79,13
202,2011-01-09,2011,January,17,Sunday,,Clear,62,59,3
203,2011-01-09,2011,January,18,Sunday,,Clear,48,44,4
204,2011-01-09,2011,January,19,Sunday,,Clear,41,40,1
205,2011-01-09,2011,January,20,Sunday,,Clear,38,38,0
206,2011-01-09,2011,January,21,Sunday,,Clear,20,19,1
207,2011-01-09,2011,January,22,Sunday,,Clear,15,10,5
208,2011-01-09,2011,January,23,Sunday,,Clear,6,6,0
209,2011-01-10,2011,January,0,Monday,,Clear,5,3,2
210,2011-01-10,2011,January,1,Monday,,Clear,1,0,1
211,2011-01-10,2011,January,2,Monday,,Clear,3,3,0
212,2011-01-10,2011,January,3,Monday,,Clear,1,1,0
213,2011-01-10,2011,January,4,Monday,,Clear,3,2,1
214,2011-01-10,2011,January,5,Monday,,Clear,3,3,0
215,2011-01-10,2011,January,6,Monday,,Clear,31,31,0
216,2011-01-10,2011,January,7,Monday,,Clear,77,75,2
217,2011-01-10,2011,January,8,Monday,,Cloudy,188,184,4
218,2011-01-10,2011,January,9,Monday,,Cloudy,94,92,2
219,2011-01-10,2011,January,10,Monday,,Cloudy,31,31,0
220,2011-01-10,2011,January,11,Monday,,Cloudy,30,28,2
221,2011-01-10,2011,January,12,Monday,,Cloudy,52,47,5
222,2011-01-10,2011,January,13,Monday,,Cloudy,54,50,4
223,2011-01-10,2011,January,14,Monday,,Cloudy,47,47,0
224,2011-01-10,2011,January,15,Monday,,Cloudy,45,43,2
225,2011-01-10,2011,January,16,Monday,,Clear,74,70,4
226,2011-01-10,2011,January,17,Monday,,Clear,178,174,4
227,2011-01-10,2011,January,18,Monday,,Clear,155,154,1
228,2011-01-10,2011,January,19,Monday,,Clear,95,92,3
229,2011-01-10,2011,January,20,Monday,,Clear,74,73,1
230,2011-01-10,2011,January,21,Monday,,Clear,38,37,1
231,2011-01-10,2011,January,22,Monday,,Clear,24,22,2
232,2011-01-10,2011,January,23,Monday,,Clear,18,18,0
233,2011-01-11,2011,January,0,Tuesday,,Clear,12,10,2
234,2011-01-11,2011,January,1,Tuesday,,Clear,3,3,0
235,2011-01-11,2011,January,2,Tuesday,,Cloudy,3,3,0
236,2011-01-11,2011,January,5,Tuesday,,Cloudy,6,6,0
237,2011-01-11,2011,January,6,Tuesday,,Cloudy,27,27,0
238,2011-01-11,2011,January,7,Tuesday,,Cloudy,99,97,2
239,2011-01-11,2011,January,8,Tuesday,,Cloudy,217,214,3
240,2011-01-11,2011,January,9,Tuesday,,Cloudy,130,127,3
241,2011-01-11,2011,January,10,Tuesday,,Cloudy,54,51,3
242,2011-01-11,2011,January,11,Tuesday,,Cloudy,35,31,4
243,2011-01-11,2011,January,12,Tuesday,,Cloudy,57,55,2
244,2011-01-11,2011,January,13,Tuesday,,Cloudy,52,46,6
245,2011-01-11,2011,January,14,Tuesday,,Cloudy,63,60,3
246,2011-01-11,2011,January,15,Tuesday,,Cloudy,47,45,2
247,2011-01-11,2011,January,16,Tuesday,,Cloudy,76,72,4
248,2011-01-11,2011,January,17,Tuesday,,Cloudy,136,130,6
249,2011-01-11,2011,January,18,Tuesday,,Light Snow/Rain,95,94,1
250,2011-01-11,2011,January,19,Tuesday,,Light Snow/Rain,51,51,0
251,2011-01-11,2011,January,20,Tuesday,,Light Snow/Rain,32,32,0
252,2011-01-11,2011,January,21,Tuesday,,Light Snow/Rain,20,20,0
253,2011-01-11,2011,January,22,Tuesday,,Light Snow/Rain,29,28,1
254,2011-01-11,2011,January,23,Tuesday,,Light Snow/Rain,19,18,1
255,2011-01-12,2011,January,0,Wednesday,,Cloudy,7,7,0
256,2011-01-12,2011,January,1,Wednesday,,Cloudy,6,6,0
257,2011-01-12,2011,January,2,Wednesday,,Clear,1,1,0
258,2011-01-12,2011,January,5,Wednesday,,Clear,5,5,0
259,2011-01-12,2011,January,6,Wednesday,,Clear,16,16,0
260,2011-01-12,2011,January,7,Wednesday,,Clear,54,54,0
261,2011-01-12,2011,January,8,Wednesday,,Clear,128,125,3
262,2011-01-12,2011,January,9,Wednesday,,Clear,81,78,3
263,2011-01-12,2011,January,10,Wednesday,,Clear,39,39,0
264,2011-01-12,2011,January,11,Wednesday,,Clear,35,32,3
265,2011-01-12,2011,January,12,Wednesday,,Clear,55,52,3
266,2011-01-12,2011,January,13,Wednesday,,Clear,49,49,0
267,2011-01-12,2011,January,14,Wednesday,,Clear,44,44,0
268,2011-01-12,2011,January,15,Wednesday,,Clear,49,48,1
269,2011-01-12,2011,January,16,Wednesday,,Clear,68,63,5
270,2011-01-12,2011,January,17,Wednesday,,Clear,139,139,0
271,2011-01-12,2011,January,18,Wednesday,,Clear,137,135,2
272,2011-01-12,2011,January,19,Wednesday,,Clear,83,82,1
273,2011-01-12,2011,January,20,Wednesday,,Clear,56,54,2
274,2011-01-12,2011,January,21,Wednesday,,Clear,57,57,0
275,2011-01-12,2011,January,22,Wednesday,,Clear,33,32,1
276,2011-01-12,2011,January,23,Wednesday,,Clear,20,19,1
277,2011-01-13,2011,January,0,Thursday,,Clear,7,6,1
278,2011-01-13,2011,January,1,Thursday,,Clear,2,2,0
279,2011-01-13,2011,January,2,Thursday,,Clear,2,2,0
280,2011-01-13,2011,January,3,Thursday,,Clear,3,3,0
281,2011-01-13,2011,January,4,Thursday,,Clear,4,4,0
282,2011-01-13,2011,January,5,Thursday,,Clear,3,3,0
283,2011-01-13,2011,January,6,Thursday,,Clear,28,28,0
284,2011-01-13,2011,January,7,Thursday,,Clear,72,72,0
285,2011-01-13,2011,January,8,Thursday,,Clear,202,197,5
286,2011-01-13,2011,January,9,Thursday,,Clear,139,137,2
287,2011-01-13,2011,January,10,Thursday,,Cloudy,38,36,2
288,2011-01-13,2011,January,11,Thursday,,Cloudy,37,33,4
289,2011-01-13,2011,January,12,Thursday,,Clear,52,49,3
290,2011-01-13,2011,January,13,Thursday,,Clear,83,81,2
291,2011-01-13,2011,January,14,Thursday,,Clear,42,39,3
292,2011-01-13,2011,January,15,Thursday,,Clear,60,55,5
293,2011-01-13,2011,January,16,Thursday,,Clear,78,76,2
294,2011-01-13,2011,January,17,Thursday,,Clear,162,158,4
295,2011-01-13,2011,January,18,Thursday,,Clear,144,141,3
296,2011-01-13,2011,January,19,Thursday,,Clear,99,98,1
297,2011-01-13,2011,January,20,Thursday,,Clear,64,64,0
298,2011-01-13,2011,January,21,Thursday,,Clear,40,40,0
299,2011-01-13,2011,January,22,Thursday,,Clear,30,30,0
300,2011-01-13,2011,January,23,Thursday,,Clear,15,14,1
301,2011-01-14,2011,January,0,Friday,,Clear,14,14,0
302,2011-01-14,2011,January,1,Friday,,Clear,5,5,0
303,2011-01-14,2011,January,2,Friday,,Clear,1,1,0
304,2011-01-14,2011,January,3,Friday,,Clear,1,1,0
305,2011-01-14,2011,January,5,Friday,,Clear,8,8,0
306,2011-01-14,2011,January,6,Friday,,Clear,17,17,0
307,2011-01-14,2011,January,7,Friday,,Clear,70,70,0
308,2011-01-14,2011,January,8,Friday,,Clear,158,156,2
309,2011-01-14,2011,January,9,Friday,,Clear,117,117,0
310,2011-01-14,2011,January,10,Friday,,Clear,44,40,4
311,2011-01-14,2011,January,11,Friday,,Clear,53,47,6
312,2011-01-14,2011,January,12,Friday,,Clear,61,59,2
313,2011-01-14,2011,January,13,Friday,,Clear,77,73,4
314,2011-01-14,2011,January,14,Friday,,Clear,64,59,5
315,2011-01-14,2011,January,15,Friday,,Clear,68,59,9
316,2011-01-14,2011,January,16,Friday,,Clear,90,87,3
317,2011-01-14,2011,January,17,Friday,,Clear,159,155,4
318,2011-01-14,2011,January,18,Friday,,Clear,139,134,5
319,2011-01-14,2011,January,19,Friday,,Clear,92,89,3
320,2011-01-14,2011,January,20,Friday,,Clear,68,68,0
321,2011-01-14,2011,January,21,Friday,,Clear,52,48,4
322,2011-01-14,2011,January,22,Friday,,Cloudy,36,34,2
323,2011-01-14,2011,January,23,Friday,,Cloudy,27,26,1
324,2011-01-15,2011,January,0,Saturday,,Clear,28,25,3
325,2011-01-15,2011,January,1,Saturday,,Cloudy,20,18,2
326,2011-01-15,2011,January,2,Saturday,,Cloudy,12,12,0
327,2011-01-15,2011,January,3,Saturday,,Cloudy,8,7,1
328,2011-01-15,2011,January,4,Saturday,,Cloudy,5,5,0
329,2011-01-15,2011,January,5,Saturday,,Clear,1,1,0
330,2011-01-15,2011,January,6,Saturday,,Clear,3,2,1
331,2011-01-15,2011,January,7,Saturday,,Clear,10,9,1
332,2011-01-15,2011,January,8,Saturday,,Clear,23,22,1
333,2011-01-15,2011,January,9,Saturday,,Clear,33,31,2
334,2011-01-15,2011,January,10,Saturday,,Clear,59,57,2
335,2011-01-15,2011,January,11,Saturday,,Clear,72,54,18
336,2011-01-15,2011,January,12,Saturday,,Clear,89,74,15
337,2011-01-15,2011,January,13,Saturday,,Clear,101,80,21
338,2011-01-15,2011,January,14,Saturday,,Clear,118,92,26
339,2011-01-15,2011,January,15,Saturday,,Cloudy,129,108,21
340,2011-01-15,2011,January,16,Saturday,,Cloudy,128,95,33
341,2011-01-15,2011,January,17,Saturday,,Cloudy,83,54,29
342,2011-01-15,2011,January,18,Saturday,,Cloudy,84,69,15
343,2011-01-15,2011,January,19,Saturday,,Cloudy,74,60,14
344,2011-01-15,2011,January,20,Saturday,,Cloudy,41,35,6
345,2011-01-15,2011,January,21,Saturday,,Cloudy,57,51,6
346,2011-01-15,2011,January,22,Saturday,,Cloudy,26,26,0
347,2011-01-15,2011,January,23,Saturday,,Clear,44,39,5
348,2011-01-16,2011,January,0,Sunday,,Clear,39,33,6
349,2011-01-16,2011,January,1,Sunday,,Clear,23,19,4
350,2011-01-16,2011,January,2,Sunday,,Clear,16,13,3
351,2011-01-16,2011,January,3,Sunday,,Clear,15,6,9
352,2011-01-16,2011,January,4,Sunday,,Clear,1,1,0
353,2011-01-16,2011,January,5,Sunday,,Cloudy,2,1,1
354,2011-01-16,2011,January,6,Sunday,,Cloudy,1,1,0
355,2011-01-16,2011,January,7,Sunday,,Cloudy,3,3,0
356,2011-01-16,2011,January,8,Sunday,,Clear,18,18,0
357,2011-01-16,2011,January,9,Sunday,,Clear,32,29,3
358,2011-01-16,2011,January,10,Sunday,,Clear,79,71,8
359,2011-01-16,2011,January,11,Sunday,,Clear,93,70,23
360,2011-01-16,2011,January,12,Sunday,,Clear,104,75,29
361,2011-01-16,2011,January,13,Sunday,,Clear,118,95,23
362,2011-01-16,2011,January,14,Sunday,,Clear,91,69,22
363,2011-01-16,2011,January,15,Sunday,,Clear,113,78,35
364,2011-01-16,2011,January,16,Sunday,,Clear,99,77,22
365,2011-01-16,2011,January,17,Sunday,,Clear,105,82,23
366,2011-01-16,2011,January,18,Sunday,,Clear,67,56,11
367,2011-01-16,2011,January,19,Sunday,,Clear,61,47,14
368,2011-01-16,2011,January,20,Sunday,,Clear,57,50,7
369,2011-01-16,2011,January,21,Sunday,,Clear,28,22,6
370,2011-01-16,2011,January,22,Sunday,,Cloudy,21,19,2
371,2011-01-16,2011,January,23,Sunday,,Cloudy,18,18,0
372,2011-01-17,2011,January,0,Monday,,Cloudy,17,16,1
373,2011-01-17,2011,January,1,Monday,,Cloudy,16,15,1
374,2011-01-17,2011,January,2,Monday,,Cloudy,8,8,0
375,2011-01-17,2011,January,3,Monday,,Cloudy,2,2,0
376,2011-01-17,2011,January,4,Monday,,Cloudy,3,2,1
377,2011-01-17,2011,January,5,Monday,,Cloudy,1,1,0
378,2011-01-17,2011,January,6,Monday,,Cloudy,5,5,0
379,2011-01-17,2011,January,7,Monday,,Cloudy,13,9,4
380,2011-01-17,2011,January,8,Monday,,Cloudy,33,30,3
381,2011-01-17,2011,January,9,Monday,,Cloudy,47,39,8
382,2011-01-17,2011,January,10,Monday,,Cloudy,57,50,7
383,2011-01-17,2011,January,11,Monday,,Cloudy,64,55,9
384,2011-01-17,2011,January,12,Monday,,Cloudy,80,70,10
385,2011-01-17,2011,January,13,Monday,,Cloudy,93,80,13
386,2011-01-17,2011,January,14,Monday,,Cloudy,86,74,12
387,2011-01-17,2011,January,15,Monday,,Cloudy,93,72,21
388,2011-01-17,2011,January,16,Monday,,Cloudy,82,76,6
389,2011-01-17,2011,January,17,Monday,,Clear,71,67,4
390,2011-01-17,2011,January,18,Monday,,Cloudy,92,85,7
391,2011-01-17,2011,January,19,Monday,,Light Snow/Rain,60,58,2
392,2011-01-17,2011,January,20,Monday,,Light Snow/Rain,33,29,4
393,2011-01-17,2011,January,21,Monday,,Light Snow/Rain,27,24,3
394,2011-01-17,2011,January,22,Monday,,Light Snow/Rain,13,13,0
395,2011-01-17,2011,January,23,Monday,,Light Snow/Rain,4,3,1
396,2011-01-18,2011,January,12,Tuesday,,Cloudy,3,3,0
397,2011-01-18,2011,January,13,Tuesday,,Cloudy,22,22,0
398,2011-01-18,2011,January,14,Tuesday,,Cloudy,28,26,2
399,2011-01-18,2011,January,15,Tuesday,,Cloudy,35,32,3
400,2011-01-18,2011,January,16,Tuesday,,Cloudy,61,61,0
401,2011-01-18,2011,January,17,Tuesday,,Cloudy,125,124,1
402,2011-01-18,2011,January,18,Tuesday,,Cloudy,133,132,1
403,2011-01-18,2011,January,19,Tuesday,,Cloudy,99,98,1
404,2011-01-18,2011,January,20,Tuesday,,Cloudy,83,83,0
405,2011-01-18,2011,January,21,Tuesday,,Cloudy,41,41,0
406,2011-01-18,2011,January,22,Tuesday,,Cloudy,33,33,0
407,2011-01-18,2011,January,23,Tuesday,,Cloudy,20,19,1
408,2011-01-19,2011,January,0,Wednesday,,Cloudy,3,3,0
409,2011-01-19,2011,January,1,Wednesday,,Light Snow/Rain,7,6,1
410,2011-01-19,2011,January,2,Wednesday,,Light Snow/Rain,3,3,0
411,2011-01-19,2011,January,4,Wednesday,,Light Snow/Rain,2,1,1
412,2011-01-19,2011,January,5,Wednesday,,Cloudy,7,7,0
413,2011-01-19,2011,January,6,Wednesday,,Cloudy,32,32,0
414,2011-01-19,2011,January,7,Wednesday,,Cloudy,90,89,1
415,2011-01-19,2011,January,8,Wednesday,,Cloudy,197,196,1
416,2011-01-19,2011,January,9,Wednesday,,Cloudy,109,107,2
417,2011-01-19,2011,January,10,Wednesday,,Cloudy,47,46,1
418,2011-01-19,2011,January,11,Wednesday,,Cloudy,52,47,5
419,2011-01-19,2011,January,12,Wednesday,,Cloudy,70,65,5
420,2011-01-19,2011,January,13,Wednesday,,Clear,78,67,11
